magazine_title,total_issues_discovered,internet_archive_issues,hathitrust_issues,google_books_issues,first_issue_date,last_issue_date,target_audience,status_notes
MAD Magazine,202,200,2,0,1953-12-31,2026-01-01,Teen and adult satire readers,metadata-first coverage; stop condition: repeated/no-new result pages; qa_missing_dates=421
National Lampoon,64,33,28,3,1952,2024-02-20,Young adult and adult humor readers,metadata-first coverage; stop condition: repeated/no-new result pages; qa_missing_dates=421
Billboard,202,54,137,11,1926,2025-10-28,Music industry professionals and fans,metadata-first coverage; stop condition: repeated/no-new result pages; qa_missing_dates=421
People,132,131,0,1,1921,2025-01-29,General celebrity and lifestyle audience,metadata-first coverage; stop condition: repeated/no-new result pages; qa_missing_dates=421
Entertainment Weekly,242,195,0,47,1990-03-09,2022-10-25,"Film, TV, and pop culture audience",metadata-first coverage; stop condition: repeated/no-new result pages; qa_missing_dates=421
Tiger Beat,5,5,0,0,2008-01-01,2018-04-01,Teen pop culture and fan audience,metadata-first coverage; stop condition: repeated/no-new result pages; qa_missing_dates=421
Teen Beat,0,0,0,0,,,Teen pop culture and fan audience,metadata-first coverage; stop condition: repeated/no-new result pages; qa_missing_dates=421
Seventeen,71,70,0,1,1950-11-01,2023-08-04,Teen and young women audience,metadata-first coverage; stop condition: repeated/no-new result pages; qa_missing_dates=421
Cosmopolitan,171,111,56,4,1889,2026-03-01,Young adult and adult women audience,metadata-first coverage; stop condition: repeated/no-new result pages; qa_missing_dates=421
New York Magazine,241,19,212,10,1968-10-21,2025-09-14,Urban culture and news audience,metadata-first coverage; stop condition: repeated/no-new result pages; qa_missing_dates=421
